ordtype;uid;is_buy;qty;price;timestamp
cancel;122;;63;;2019-05-23 09:04:02.536
new;126;True;63;95.55;2019-05-23 09:04:02.536
new;127;True;2;95.7;2019-05-23 09:04:02.553
modif;58;;61;;2019-05-23 09:04:02.768
new;128;False;33;96.35;2019-05-23 09:04:02.768
new;129;False;33;95.9;2019-05-23 09:04:42.527
cancel;124;;33;;2019-05-23 09:04:42.528
cancel;127;;2;;2019-05-23 09:04:42.574
new;130;True;34;95.2;2019-05-23 09:04:42.574
cancel;107;;250;;2019-05-23 09:04:42.574
cancel;126;;63;;2019-05-23 09:04:42.603
new;131;True;63;95.5;2019-05-23 09:04:42.603
cancel;128;;33;;2019-05-23 09:04:42.603
new;132;False;33;95.85;2019-05-23 09:04:42.603
cancel;123;;33;;2019-05-23 09:04:42.605
new;133;True;250;95.1;2019-05-23 09:04:42.605
cancel;125;;250;;2019-05-23 09:04:42.605
new;134;True;250;95.3;2019-05-23 09:04:42.605
cancel;131;;63;;2019-05-23 09:04:42.626
new;135;True;2;95.6;2019-05-23 09:04:42.650
new;136;True;63;95.45;2019-05-23 09:04:45.037
cancel;133;;250;;2019-05-23 09:04:54.290
new;137;True;33;95.65;2019-05-23 09:04:54.290
cancel;132;;33;;2019-05-23 09:04:54.292
new;138;False;33;96.35;2019-05-23 09:04:54.292
cancel;135;;2;;2019-05-23 09:04:54.325
new;139;True;2;95.65;2019-05-23 09:04:54.376
cancel;139;;2;;2019-05-23 09:05:00.335
cancel;138;;33;;2019-05-23 09:05:37.167
new;140;False;33;95.85;2019-05-23 09:05:37.167
new;141;False;7;96.0;2019-05-23 09:05:37.167
new;142;True;7;95.5;2019-05-23 09:05:37.167
new;143;False;330;95.9;2019-05-23 09:05:37.840
cancel;137;;33;;2019-05-23 09:05:40.375
new;144;True;836;95.15;2019-05-23 09:05:40.375
new;145;True;7;95.45;2019-05-23 09:05:40.375
new;146;False;7;95.95;2019-05-23 09:05:40.375
cancel;78;;34;;2019-05-23 09:05:40.475
new;147;False;33;95.8;2019-05-23 09:05:40.475
new;148;False;250;96.1;2019-05-23 09:05:40.479
cancel;85;;63;;2019-05-23 09:05:40.585
new;149;False;63;95.95;2019-05-23 09:05:40.585
cancel;147;;33;;2019-05-23 09:05:42.035
new;150;False;34;96.3;2019-05-23 09:05:42.035
cancel;149;;63;;2019-05-23 09:05:42.059
new;151;False;63;96.0;2019-05-23 09:05:43.016
cancel;143;;330;;2019-05-23 09:05:44.707
new;152;False;340;95.85;2019-05-23 09:05:44.709
new;153;False;7;95.9;2019-05-23 09:05:44.709
new;154;True;7;95.55;2019-05-23 09:05:44.709
cancel;150;;34;;2019-05-23 09:06:07.688
new;155;False;34;95.8;2019-05-23 09:06:07.688
new;156;False;7;95.85;2019-05-23 09:06:07.690
cancel;152;;340;;2019-05-23 09:06:18.214
new;157;False;340;95.8;2019-05-23 09:06:18.216
new;158;False;7;95.8;2019-05-23 09:06:18.217
new;159;False;15;95.8;2019-05-23 09:06:23.542
cancel;113;;34;;2019-05-23 09:06:24.170
new;160;True;250;95.1;2019-05-23 09:06:24.170
cancel;154;;7;;2019-05-23 09:06:24.171
cancel;136;;63;;2019-05-23 09:06:24.195
new;161;True;63;95.4;2019-05-23 09:06:24.195
cancel;159;;15;;2019-05-23 09:06:24.198
cancel;80;;34;;2019-05-23 09:06:24.230
new;162;False;15;95.75;2019-05-23 09:06:24.230
